time;name;vodka;gin;rum;blue curacao;ananas juice;cherry juice;orange juice;bitter lemon;tonic water;herbal lemonade;bitter orange sirup;soda;recipe
01:02:49.712;Rum Elixir Express;0;0;2;0;0;3;0,5;0;2;1;0;0;2.0 cl rum, 3.0 cl cherry juice, 0.50 cl orange juice, 2.0 cl tonic water, 1.0 cl herbal lemonade
01:03:38.954;Curacao Dataflow Delight;0;0;0;3;2;0;0;1;0;0,5;0;2;3.0 cl blue curacao, 2.0 cl ananas juice, 1.0 cl bitter lemon, 0.50 cl herbal lemonade, 2.0 cl soda
01:04:35.323;non-alcoholic cocktail;0;0;0;0;0;2,857142857142857;0;0;0;2,857142857142857;0;4,285714285714286;2.9 cl cherry juice, 2.9 cl herbal lemonade, 4.3 cl soda
01:05:44.911;Curacao Logic Loop;0;0;0;2;3;0;0;0;2;0,5;2,5;0;2.0 cl blue curacao, 3.0 cl ananas juice, 2.0 cl tonic water, 0.50 cl herbal lemonade, 2.5 cl bitter orange sirup
01:06:35.822;Rum Byte Blaster;0;0;3;0;2,5;0,5;0;0;0;0;2;0;3.0 cl rum, 2.5 cl ananas juice, 0.50 cl cherry juice, 2.0 cl bitter orange sirup
01:07:20.025;random cocktail;0;0;0;3;0;2;4;2;2;2;0;0;3.0 cl blue curacao, 2.0 cl cherry juice, 4.0 cl orange juice, 2.0 cl bitter lemon, 2.0 cl tonic water, 2.0 cl herbal lemonade
01:08:10.944;Vodka Tech Tango;3;0;0;0;0;2,5;0,5;0;0;1;0;2;3.0 cl vodka, 2.5 cl cherry juice, 0.50 cl orange juice, 1.0 cl herbal lemonade, 2.0 cl soda
01:26:41.779;random cocktail;0;0;3,5555555555555554;0;0;3,5555555555555554;1,7777777777777777;3,5555555555555554;3,5555555555555554;0;0,4444444444444444;3,5555555555555554;3.6 cl rum, 3.6 cl cherry juice, 1.8 cl orange juice, 3.6 cl bitter lemon, 3.6 cl tonic water, 0.44 cl bitter orange sirup, 3.6 cl soda
01:36:12.498;Curacao Code Crunch;0;0;0;2;0;0;0;3;2,5;1;0;0;2.0 cl blue curacao, 3.0 cl bitter lemon, 2.5 cl tonic water, 1.0 cl herbal lemonade
01:36:59.554;non-alcoholic cocktail;0;0;0;0;0;0;0;0;3,3333333333333335;0;0;6,666666666666667;3.3 cl tonic water, 6.7 cl soda
01:38:12.113;Gin Graph Grenade;0;4;0;0;0;0;0;2,5;0;0;0,5;1;4.0 cl gin, 2.5 cl bitter lemon, 0.50 cl bitter orange sirup, 1.0 cl soda
01:41:42.492;Curacao Data Mingle;0;0;0;2;0;1,5;0;3;0;0;1,5;0;2.0 cl blue curacao, 1.5 cl cherry juice, 3.0 cl bitter lemon, 1.5 cl bitter orange sirup
02:12:46.127;Binary Fizzbyte;0;3;0;0;2;2,5;3,5;0;0;0;0;0;3.0 cl gin, 2.0 cl ananas juice, 2.5 cl cherry juice, 3.5 cl orange juice
02:16:12.694;Rumble Codecrash;0;0;4;0;0;2;2,5;0;0;1;0;0,5;4.0 cl rum, 2.0 cl cherry juice, 2.5 cl orange juice, 1.0 cl herbal lemonade, 0.50 cl soda
18:18:55.083;Quantum Rum-ble;0;0;3;0;2,5;1,5;2,5;0;0;1,5;0;0;3.0 cl rum, 2.5 cl ananas juice, 1.5 cl cherry juice, 2.5 cl orange juice, 1.5 cl herbal lemonade
18:33:57.257;non-alcoholic cocktail;0;0;0;0;4;2;0;4;2;2;0,5;4;4.0 cl ananas juice, 2.0 cl cherry juice, 4.0 cl bitter lemon, 2.0 cl tonic water, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 4.0 cl soda
18:40:02.004;Blue Codewave;0;0;0;2;1,5;3;0;2;0;2,5;0;0;2.0 cl blue curacao, 1.5 cl ananas juice, 3.0 cl cherry juice, 2.0 cl bitter lemon, 2.5 cl herbal lemonade
18:47:44.478;Binary Breeze;3;0;0;0;0;2;0;1;0;0;3;3;3.0 cl vodka, 2.0 cl cherry juice, 1.0 cl bitter lemon, 3.0 cl bitter orange sirup, 3.0 cl soda
18:54:10.621;non-alcoholic cocktail;0;0;0;0;4;0;4;0;0;2;0,5;4;4.0 cl ananas juice, 4.0 cl orange juice, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 4.0 cl soda
18:56:31.933;Ginny Algorithm;0;2;0;0;0;0;3;3;2;0;0;1;2.0 cl gin, 3.0 cl orange juice, 3.0 cl bitter lemon, 2.0 cl tonic water, 1.0 cl soda
18:57:37.877;non-alcoholic cocktail;0;0;0;0;4;0;2;4;4;2;0,5;3;4.0 cl ananas juice, 2.0 cl orange juice, 4.0 cl bitter lemon, 4.0 cl tonic water, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 3.0 cl soda
18:58:36.711;non-alcoholic cocktail;0;0;0;0;3,902439024390244;1,951219512195122;1,951219512195122;1,951219512195122;3,902439024390244;3,902439024390244;0,4878048780487805;1,951219512195122;3.9 cl ananas juice, 2.0 cl cherry juice, 2.0 cl orange juice, 2.0 cl bitter lemon, 3.9 cl tonic water, 3.9 cl herbal lemonade, 0.49 cl bitter orange sirup, 2.0 cl soda
19:03:53.348;non-alcoholic cocktail;0;0;0;0;2;2;4;4;0;4;0,5;3;2.0 cl ananas juice, 2.0 cl cherry juice, 4.0 cl orange juice, 4.0 cl bitter lemon, 4.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 3.0 cl soda
19:05:13.632;non-alcoholic cocktail;0;0;0;0;4;2;4;0;4;2;0,5;2;4.0 cl ananas juice, 2.0 cl cherry juice, 4.0 cl orange juice, 4.0 cl tonic water, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 2.0 cl soda
19:06:05.058;Curacao Reboot;0;0;0;3;2;0;2;1;3;0;0;1;3.0 cl blue curacao, 2.0 cl ananas juice, 2.0 cl orange juice, 1.0 cl bitter lemon, 3.0 cl tonic water, 1.0 cl soda
19:09:44.785;non-alcoholic cocktail;0;0;0;0;3,3333333333333335;0;0;0;0;0;0;6,666666666666667;3.3 cl ananas juice, 6.7 cl soda
19:10:52.019;non-alcoholic cocktail;0;0;0;0;0;5;0;0;0;0;0;5;5.0 cl cherry juice, 5.0 cl soda
19:12:48.836;Rum Byte Refresh;0;0;2;0;0;1,5;0;2;2;0;0;2,5;2.0 cl rum, 1.5 cl cherry juice, 2.0 cl bitter lemon, 2.0 cl tonic water, 2.5 cl soda
19:17:32.115;non-alcoholic cocktail;0;0;0;0;2;4;0;4;0;0;0,5;2;2.0 cl ananas juice, 4.0 cl cherry juice, 4.0 cl bitter lemon, 0.50 cl bitter orange sirup, 2.0 cl soda
19:21:18.304;Gin Syntax Error;0;3;0;0;0;0;2;1,5;2;1;0;0,5;3.0 cl gin, 2.0 cl orange juice, 1.5 cl bitter lemon, 2.0 cl tonic water, 1.0 cl herbal lemonade, 0.50 cl soda
19:23:12.061;non-alcoholic cocktail;0;0;0;0;0;2;2;2;0;0;0,5;4;2.0 cl cherry juice, 2.0 cl orange juice, 2.0 cl bitter lemon, 0.50 cl bitter orange sirup, 4.0 cl soda
19:24:07.152;non-alcoholic cocktail;0;0;0;0;0;0;0;0;4;0;0;6;4.0 cl tonic water, 6.0 cl soda
19:25:26.662;non-alcoholic cocktail;0;0;0;0;0;4;2;4;0;0;0;3;4.0 cl cherry juice, 2.0 cl orange juice, 4.0 cl bitter lemon, 3.0 cl soda
19:30:00.771;Debugging Delight;2;0;0;0;0;2,5;0;0;1,5;3;0;3;2.0 cl vodka, 2.5 cl cherry juice, 1.5 cl tonic water, 3.0 cl herbal lemonade, 3.0 cl soda
19:41:02.329;Blue Bot Blaster;0;0;0;2;1,5;0;4;1;0;0;2,5;1;2.0 cl blue curacao, 1.5 cl ananas juice, 4.0 cl orange juice, 1.0 cl bitter lemon, 2.5 cl bitter orange sirup, 1.0 cl soda
19:42:29.239;Curacao Kernel;0;0;0;3;3;0;0;0;0;2;1;1;3.0 cl blue curacao, 3.0 cl ananas juice, 2.0 cl herbal lemonade, 1.0 cl bitter orange sirup, 1.0 cl soda
19:44:06.739;non-alcoholic cocktail;0;0;0;0;0;4;0;2;0;4;0,5;3;4.0 cl cherry juice, 2.0 cl bitter lemon, 4.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 3.0 cl soda
19:52:07.288;Rum Packet Punch;0;0;2;0;0;2;2,5;0;0;1;0;2,5;2.0 cl rum, 2.0 cl cherry juice, 2.5 cl orange juice, 1.0 cl herbal lemonade, 2.5 cl soda
19:54:53.055;Gin Circuit Linker;0;3;0;0;0;0;0;2;3;1;0;1;3.0 cl gin, 2.0 cl bitter lemon, 3.0 cl tonic water, 1.0 cl herbal lemonade, 1.0 cl soda
19:56:13.294;non-alcoholic cocktail;0;0;0;0;0;0;4;0;0;4;0,5;2;4.0 cl orange juice, 4.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 2.0 cl soda
19:57:11.475;Curacao Code Crafter;0;0;0;2;2;2,5;0;0;2;0;1,5;0;2.0 cl blue curacao, 2.0 cl ananas juice, 2.5 cl cherry juice, 2.0 cl tonic water, 1.5 cl bitter orange sirup
19:58:36.709;non-alcoholic cocktail;0;0;0;0;0;0;0;0;0;3,3333333333333335;0;6,666666666666667;3.3 cl herbal lemonade, 6.7 cl soda
20:01:05.664;Vodka Bitstream;3;0;0;0;1,5;0;2,5;0;0;0;2;1;3.0 cl vodka, 1.5 cl ananas juice, 2.5 cl orange juice, 2.0 cl bitter orange sirup, 1.0 cl soda
20:02:59.714;RumBot Revolution;0;0;3;0;0;2;1;0;0;0,5;0;3,5;3.0 cl rum, 2.0 cl cherry juice, 1.0 cl orange juice, 0.50 cl herbal lemonade, 3.5 cl soda
20:04:39.362;non-alcoholic cocktail;0;0;0;0;5,714285714285714;0;0;0;0;0;0;4,285714285714286;5.7 cl ananas juice, 4.3 cl soda
20:07:22.529;Gin Gateway Refresher;0;2;0;0;1,5;0;2;2;1;0;0;0;2.0 cl gin, 1.5 cl ananas juice, 2.0 cl orange juice, 2.0 cl bitter lemon, 1.0 cl tonic water
20:10:15.231;Curacao Cyber Splash;0;0;0;3;2;2;0;1,5;0;0;1;0,5;3.0 cl blue curacao, 2.0 cl ananas juice, 2.0 cl cherry juice, 1.5 cl bitter lemon, 1.0 cl bitter orange sirup, 0.50 cl soda
20:20:48.456;Rum Pixel Punch;0;0;2;0;2,5;0;2;0;0;1,5;0;1;2.0 cl rum, 2.5 cl ananas juice, 2.0 cl orange juice, 1.5 cl herbal lemonade, 1.0 cl soda
20:21:33.862;Curacao Mesh Network;0;0;0;3;0;0;2,5;0;2;0;2;0,5;3.0 cl blue curacao, 2.5 cl orange juice, 2.0 cl tonic water, 2.0 cl bitter orange sirup, 0.50 cl soda
